"","identifier","names","names_2","x","values","lag_sign","Stable","beta","alpha","gamma","W","W1","W2","c","v","r","k","interest_rate","sigma","spec","transformation","id_2"
"273",82,"ss_cournot_lq","ss_cournot_lq1",18268,0.00484879191645859,2,"Stable",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,13012.5904513667,0.75,5000,62950.9407300112,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c","c= 3142.55 and v= 0.08",1
"274",83,"ss_monop_lq","ss_monop_lq1",17297,0.0482647237391234,2,"Stable",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,13012.5904513667,0.75,5000,53957.9491971524,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c","c= 1077.16 and v= 0.09",1
"275",83,"ss_bertrand_lq","ss_bertrand_lq1",17459,0.0416341122440258,2,"Stable",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,13012.5904513667,0.75,5000,53957.9491971524,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c","c= 1077.16 and v= 0.09",1
"276",83,"ss_cournot_lq","ss_cournot_lq1",18277.5,0.0308541054989178,2,"Stable",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,13012.5904513667,0.75,5000,53957.9491971524,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c","c= 1077.16 and v= 0.09",1
"277",84,"ss_monop_lq","ss_monop_lq1",17286,0.0588090660431249,2,"Stable",1563.75159261232,1625836.98199308,156.375159261232,3.74653378332899,13012.5904513667,0.75,0,80936.9237957287,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c and gamma","c= Inf and v= 0 and gamma 15637.5159261232",1
"278",84,"ss_bertrand_lq","ss_bertrand_lq1",17431,0.00490511306480812,2,"Stable",1563.75159261232,1625836.98199308,156.375159261232,3.74653378332899,13012.5904513667,0.75,0,80936.9237957287,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c and gamma","c= Inf and v= 0 and gamma 15637.5159261232",1
"279",84,"ss_cournot_lq","ss_cournot_lq1",17447,0.049374551939934,2,"Stable",1563.75159261232,1625836.98199308,156.375159261232,3.74653378332899,13012.5904513667,0.75,0,80936.9237957287,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c and gamma","c= Inf and v= 0 and gamma 15637.5159261232",1
"280",85,"ss_monop_lq","ss_monop_lq1",17286,0.0588090660431249,2,"Stable",1563.75159261232,1625836.98199308,156.375159261232,3.74653378332899,13012.5904513667,0.75,0,71943.9322628699,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c and gamma","c= 35921.97 and v= 0 and gamma 1563.75159261232",1
"281",85,"ss_bertrand_lq","ss_bertrand_lq1",17432,0.00645937676489439,2,"Stable",1563.75159261232,1625836.98199308,156.375159261232,3.74653378332899,13012.5904513667,0.75,0,71943.9322628699,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c and gamma","c= 35921.97 and v= 0 and gamma 1563.75159261232",1
"282",85,"ss_cournot_lq","ss_cournot_lq1",17448,0.0526861215553822,2,"Stable",1563.75159261232,1625836.98199308,156.375159261232,3.74653378332899,13012.5904513667,0.75,0,71943.9322628699,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c and gamma","c= 35921.97 and v= 0 and gamma 1563.75159261232",1
"283",86,"ss_monop_lq","ss_monop_lq1",17286,0.0588090660431249,2,"Stable",1563.75159261232,1625836.98199308,156.375159261232,3.74653378332899,13012.5904513667,0.75,0,62950.9407300112,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c and gamma","c= 12570.19 and v= 0 and gamma 781.87579630616",1
"284",86,"ss_bertrand_lq","ss_bertrand_lq1",17433,0.00803329679018816,2,"Stable",1563.75159261232,1625836.98199308,156.375159261232,3.74653378332899,13012.5904513667,0.75,0,62950.9407300112,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c and gamma","c= 12570.19 and v= 0 and gamma 781.87579630616",1
"285",86,"ss_cournot_lq","ss_cournot_lq1",17449,0.0560173509103947,2,"Stable",1563.75159261232,1625836.98199308,156.375159261232,3.74653378332899,13012.5904513667,0.75,0,62950.9407300112,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c and gamma","c= 12570.19 and v= 0 and gamma 781.87579630616",1
